Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Grupo,Raridade,Estagio,FF,Code,Linhagem
Rhydon,108,62,57,22,22,17,16,39,48,20,12,20,3,1,2,940,346,564,688,terrestre,100,pedra,100,,,1.85,120.0,rinoceronte,8,2,,173,50
Rhyperior,126,78,70,25,25,19,17,40,50,20,12,20,3,1,3,1060,422,652,782,pedra,100,terrestre,100,,,2.3,282.8,rinoceronte,10,3,,174,50
Happiny,90,2,2,6,24,26,26,3,24,10,4,4,1,1,0,410,194,310,338,normal,100,,,,,0.65,18.4,bola,-,0,,175,51
Chansey,180,6,6,17,47,33,39,10,50,15,9,9,2,1,2,790,374,552,620,normal,100,,,,,1.1,31.6,bola,5,1,,176,51
Blissey,200,10,10,38,60,33,52,15,54,20,16,16,3,1,2,1010,428,674,778,normal,100,,,,,1.3,46.8,bola,8,2,,177,51
Blissey Radiante,200,13,13,41,61,36,54,16,56,22,19,19,4,1,2,1082,434,696,816,normal,100,,,,,1.3,46.8,bola,-,FF,,178,51
Tangela,58,25,45,38,22,28,26,17,28,20,6,12,3,1,1,720,224,388,522,planta,100,,,,,0.8,20,planta,3,1,,179,52
Tangrowth,122,47,58,50,27,28,35,20,46,20,10,12,3,1,2,980,338,594,744,planta,100,,,,,2,101.1,planta,7,2,,180,52
Kangaskhan,109,46,40,22,39,42,9,24,45,20,7,12,4,1,2,880,291,533,665,normal,100,terrestre,10,,,2.1,146.7,canguru,6,1,,181,53
Mega Kangaskhan,109,58,47,26,47,46,9,30,50,22,7,12,4,1,2,980,325,605,761,normal,100,terrestre,10,,,2.15,158.4,canguru,-,FF,,182,53
Horsea,35,22,27,27,17,26,22,21,22,15,9,10,3,1,0,570,160,292,403,agua,100,,,,,0.4,3.6,cavalo-marinho,2,1,,183,54
Seadra,55,30,43,43,23,35,30,38,31,16,10,15,3,1,2,830,248,440,601,agua,100,dragao,10,,,1,22.4,cavalo-marinho,6,2,,184,54
Kingdra,75,45,45,45,45,37,45,45,40,16,15,24,3,2,2,1060,270,540,769,agua,100,dragao,100,,,1.8,122,cavalo-marinho,9,3,,185,54
Goldeen,47,26,24,18,24,25,28,23,22,12,5,10,4,1,1,600,158,301,427,agua,100,,,,,0.6,11,peixe,3,1,,186,55
Seaking,67,38,29,29,34,30,46,34,35,18,7,10,4,1,2,840,238,441,617,agua,100,,,,,1.3,38,peixe,5,2,,187,55
Staryu,33,22,25,28,25,31,20,20,22,15,7,10,3,1,1,600,168,306,419,agua,100,cosmico,50,psiquico,10,0.7,31.5,estrela,2,1,,188,56
Starmie,60,30,35,50,35,55,40,55,35,15,10,10,3,2,2,960,320,540,730,agua,100,cosmico,100,psiquico,50,1,70,estrela,6,2,,189,56
Mime Jr,24,12,18,23,26,19,22,14,18,12,4,4,1,1,0,430,142,252,328,psiquico,100,fada,100,,,0.6,13,humanoide,-,0,,190,57
Mr. Mime,48,20,25,40,57,42,42,18,32,16,4,8,2,1,2,780,282,476,600,psiquico,100,fada,100,,,1.35,51.5,humanoide,5,1,,191,57
Mr. Rime,82,27,32,59,57,42,46,25,40,16,6,10,3,1,2,940,324,570,738,psiquico,100,gelo,100,fada,10,1.55,59.2,humanoide,8,2,,192,57
Scyther,72,47,37,29,37,45,15,32,32,20,15,15,2,1,2,870,258,468,630,inseto,100,voador,100,,,1.5,56,insetoide,5,1,,193,58
Scizor,81,58,48,29,41,41,16,36,38,20,20,15,2,1,2,960,294,533,703,inseto,100,metal,100,,,1.8,105,caranguejo,8,2,,194,58
Mega Scizor,82,68,54,29,41,41,16,40,40,20,30,30,2,1,2,1080,326,570,770,inseto,100,metal,100,,,1.95,119,caranguejo,-,FF,,195,58
Kleavor,82,66,37,29,37,45,18,44,38,20,15,15,2,1,2,960,310,542,714,inseto,100,pedra,100,,,1.75,87,criatura,8,2,,196,58
Smoochum,32,14,6,28,22,19,24,12,18,12,4,4,2,1,0,430,148,254,330,gelo,100,psiquico,100,sonoro,10,0.45,6.9,humanoide,-,0,,197,59
Jynx,69,20,12,43,39,24,49,21,35,15,5,10,3,2,3,790,262,449,561,gelo,100,psiquico,100,sonoro,10,1.25,38.6,humanoide,5,1,,198,59
Elekid,34,19,13,19,13,22,16,15,21,16,4,4,2,1,0,438,124,228,316,eletrico,100,,,,,0.6,23.5,bateria,-,0,,199,60
Electabuzz,77,33,22,36,23,37,20,22,32,18,14,13,4,1,2,780,223,399,527,eletrico,100,,,,,1.1,34.0,abelha,5,1,,200,60
Electivire,100,51,35,39,38,40,23,24,42,19,35,15,4,1,3,1030,286,520,708,eletrico,100,lutador,10,,,1.85,138.6,criatura,9,2,,201,60
Magby,34,21,13,21,13,20,15,15,20,14,5,5,2,1,0,436,124,228,312,fogo,100,,,,,0.6,21.4,pato,-,0,,202,61
Magmar,77,36,23,38,22,33,20,23,32,17,14,13,4,1,2,780,225,401,531,fogo,100,,,,,1.1,44.1,pato,5,1,,203,61
Magmortar,100,42,38,49,37,35,23,28,40,19,35,15,4,1,3,1030,282,512,708,fogo,100,lutador,10,,,1.85,118.3,criatura,9,2,,204,61
Pinsir,65,50,37,24,28,30,10,38,33,20,25,20,3,1,2,870,250,441,595,inseto,100,,,,,1.5,55.0,insetoide,5,1,,205,62
Mega Pinsir,65,53,38,25,28,36,10,41,34,20,50,25,3,1,2,990,288,504,675,inseto,100,voador,100,,,1.65,59.0,insetoide,-,FF,,206,62
Tauros,86,45,40,22,32,48,20,31,35,25,10,6,2,1,2,860,272,486,642,normal,100,,,,,1.35,88.4,touro,5,1,,207,63
Tauros Combat,86,46,42,17,30,48,18,37,35,25,10,6,2,1,2,860,274,502,648,lutador,100,,,,,1.35,88.4,touro,-,F,,208,63
Tauros Flame,86,46,42,17,30,48,18,37,35,25,10,6,2,1,2,860,274,502,648,fogo,100,lutador,80,,,1.35,88.4,touro,-,F,,209,63
Tauros Aqua,86,46,42,17,30,48,18,37,35,25,10,6,2,1,2,860,274,502,648,agua,100,lutador,80,,,1.35,88.4,touro,-,F,,210,63
Magikarp,32,13,24,14,16,29,15,10,15,10,4,8,3,1,1,450,138,230,304,agua,100,,,,,0.8,8,peixe,1,1,,211,64
Gyarados,107,72,40,32,52,35,24,26,46,20,18,25,3,1,2,1060,355,597,763,agua,100,voador,80,,,7,235.5,cobra,9,2,,212,64
Mega Gyarados,107,88,46,36,61,35,28,34,46,20,20,25,3,1,2,1160,405,661,855,agua,100,sombrio,80,,,7.5,305,cobra,-,FF,,213,64
Lapras,135,40,36,40,46,30,32,26,50,20,5,10,4,1,3,980,327,559,735,agua,100,,,,,2.3,220,criatura,8,1,,214,65
Gigantamax Lapras,360,46,40,40,48,20,53,26,53,20,6,10,4,1,3,1260,572,840,1012,agua,100,,,,,20,999,criatura,-,FF,,215,65
Ditto,36,18,18,18,18,18,18,18,18,9,15,15,1,1,0,480,108,216,324,normal,100,,,,,0.25,2.5,gosma,4,1,,216,66
Eevee,45,24,21,20,27,24,25,18,24,16,5,10,4,1,1,600,152,293,411,normal,100,,,,,0.4,6.5,raposa,3,1,,217,67
Gigantamax Eevee,190,31,24,20,27,16,37,18,33,16,8,10,4,1,1,800,330,494,602,normal,100,,,,,5,280,raposa,-,FF,,218,67
Vaporeon,124,34,28,50,40,34,34,50,40,17,6,10,4,1,2,960,324,552,744,agua,100,,,,,1.05,28,gato,7,2,,219,67
Vaporeon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,agua,100,,,,,1.05,28,gato,-,FF,,220,67
Jolteon,68,40,28,50,40,62,34,34,34,25,6,10,4,1,2,960,304,520,712,eletrico,100,,,,,0.8,21.5,cachorro,7,2,,221,67
Jolteon Radiante,,,, ,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,eletrico,100,,,,,0.8,21.5,cachorro,-,FF,,222,67
Flareon,68,62,34,40,50,40,50,28,34,17,6,10,4,1,2,960,324,552,744,fogo,100,,,,,0.85,23,raposa,7,2,,223,67
Flareon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,fogo,100,,,,,0.85,23,raposa,-,FF,,224,67
Espeon,68,34,28,62,50,50,40,34,34,20,6,10,4,1,2,960,324,540,732,psiquico,100,,,,,0.85,22.5,gato,7,2,,225,67
Espeon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,psiquico,100,,,,,0.85,22.5,gato,-,FF,,226,67
Umbreon,80,34,50,28,62,34,40,34,50,17,6,10,4,1,2,960,324,552,744,sombrio,100,,,,,0.95,25,raposa,7,2,,227,67
Umbreon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,sombrio,100,,,,,0.95,25,raposa,-,FF,,228,67
Leafeon,68,50,62,34,40,50,40,34,28,17,6,10,4,1,2,960,324,552,744,planta,100,,,,,1,23.5,gato,7,2,,229,67
Leafon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,planta,100,,,,,1,23.5,gato,-,FF,,230,67
Glaceon,68,34,50,50,40,28,34,62,34,20,6,10,4,1,2,960,324,540,732,gelo,100,,,,,0.85,23.9,gato,7,2,,231,67
Glaceon Radiante,,,,,,,,,,,,,5,1,2,110,#NUM!,#NUM!,#NUM!,gelo,100,,,,,0.85,23.9,gato,-,FF,,232,67
Sylveon,80,28,34,50,50,34,62,34,40,17,6,10,4,1,2,960,324,552,744,fada,100,,,,,1.1,25.4,cachorro,7,2,,233,67
Sylveon Radiante,80,30,36,52,52,37,65,36,42,18,6,10,5,1,2,1010,338,576,780,fada,100,,,,,1.1,25.4,cachorro,-,FF,,234,67
Porygon,60,25,29,33,29,18,12,21,28,15,5,15,2,1,1,630,184,348,456,normal,100,,,,,0.8,30,minerio,4,1,,235,68
Porygon2,79,35,38,43,38,22,17,28,35,16,5,30,2,1,2,840,241,457,617,normal,100,sonoro,10,,,0.75,35,minerio,6,2,,236,68
Porygon-Z,90,40,39,55,39,40,20,30,36,18,10,50,2,2,2,1040,300,538,748,normal,100,sonoro,10,cosmico,10,0.95,40,minerio,8,3,,237,68
Omanyte,38,17,32,27,21,17,20,19,30,12,6,10,3,1,1,570,178,298,404,agua,100,pedra,100,,,0.35,7.4,fossil,4,1,,238,69
Omastar,68,26,58,47,32,23,28,35,34,14,15,15,3,1,2,870,280,480,634,agua,100,pedra,100,,,0.9,27.5,fossil,6,2,,239,69
Kabuto,34,23,30,20,20,18,19,20,20,14,10,10,2,1,1,550,146,266,374,pedra,100,agua,80,inseto,50,0.2,9.5,caranguejo,3,1,,240,70
Kabutops,63,41,35,22,25,35,20,31,32,20,50,15,2,1,2,900,252,449,605,pedra,100,agua,80,inseto,50,1.25,38.5,caranguejo,7,2,,241,70
Aerodactyl,86,48,33,30,36,61,22,30,45,15,8,10,4,1,2,910,308,532,696,pedra,100,voador,100,,,1.8,61,pré-histórico,8,1,,242,71
Mega Aerodactyl,86,61,36,36,30,80,22,32,45,20,10,10,4,1,2,1010,372,602,770,pedra,100,voador,100,,,2.1,84.5,pré-histórico,-,FF,,243,71
Munchlax,100,30,12,12,30,3,13,6,15,5,4,5,2,1,0,429,220,300,346,normal,100,voador,100,,,0.6,50,anta,-,0,,244,72
Snorlax,160,56,33,33,56,12,27,35,54,7,15,15,5,1,2,1000,384,628,778,normal,100,voador,100,,,2.1,420,urso,8,1,,245,72
Gigantamax Snorlax,450,56,33,33,56,1,27,35,60,7,15,15,5,1,2,1280,682,930,1080,normal,100,voador,100,,,22,999,urso,-,FF,,246,72
Articuno,100,36,48,45,60,41,48,29,40,18,15,23,4,2,2,1100,316,584,794,gelo,100,voador,100,,,1.7,55.4,passaro,-,1,,247,73
Ultra Articuno,100,38,48,82,60,41,54,29,40,20,18,24,4,2,2,1210,392,670,884,psiquico,100,voador,100,,,1.7,50.9,passaro,-,FF,,248,73
Zapdos,98,45,37,60,43,51,37,31,38,21,15,23,4,2,2,1100,320,572,782,eletrico,100,voador,100,,,1.65,52.6,passaro,-,1,,249,74
Ultra Zapdos,98,82,40,60,44,51,37,37,40,21,18,24,4,2,2,1210,386,652,880,lutador,100,voador,100,,,1.7,59.2,passaro,-,FF,,250,74
Moltres,110,51,45,60,40,38,40,28,42,17,15,23,4,2,2,1100,332,586,798,fogo,100,voador,100,,,1.95,64.4,passaro,-,1,,251,75
Ultra Moltres,110,51,47,60,82,38,42,30,43,17,18,24,4,2,2,1210,394,676,896,sombrio,100,voador,100,,,2,69.8,passaro,-,FF,,252,75
Dratini,50,29,21,22,22,22,22,21,24,16,10,10,1,1,1,590,156,288,416,dragao,100,,,,,1.5,3.3,cobra,4,1,,253,76
Dragonair,83,43,32,33,33,36,31,27,34,16,10,15,2,1,1,820,241,441,621,dragao,100,,,,,4,16.5,cobra,7,2,,254,76
Dragonite,137,66,40,43,43,38,38,35,56,16,12,15,5,1,2,1110,381,633,855,dragao,100,voador,100,,,2.3,260,dragão,10,3,,255,76
Mewtwo,103,55,38,75,38,62,36,40,42,30,10,25,4,1,2,1200,384,651,875,psiquico,100,,,,,1.9,80.5,gato,-,1,,256,77
Mega Mewtwo ,103,56,38,100,42,68,40,40,42,35,10,25,4,1,2,1300,448,719,955,psiquico,100,cosmico,50,,,1.5,35,gato,-,FF,,257,77
Ultra Mewtwo ,115,100,44,70,44,62,36,40,44,30,10,25,4,1,2,1320,464,755,995,psiquico,100,lutador,100,,,2.1,100,gato,-,FF,,258,77
Mew,80,40,40,40,40,40,40,40,40,20,25,25,5,2,2,1080,240,480,720,psiquico,100,cosmico,50,,,0.45,4.8,gato,-,1,,259,78
Mew Radiante,80,44,44,44,44,44,44,44,44,22,33,33,6,2,2,1210,264,528,784,psiquico,100,cosmico,50,,,0.45,4.8,gato,-,FF,,260,78
Chikorita,44,21,25,21,25,24,24,15,26,12,5,10,3,1,1,569,152,292,406,planta,100,,,,,,,planta,3,1,,261,79
Bayleef,72,27,35,28,35,26,34,18,40,16,5,15,3,1,1,752,222,416,558,planta,100,,,,,,,girafa,6,2,,262,79
Meganium,110,35,56,37,56,31,54,22,54,20,10,15,3,1,2,1045,334,624,800,planta,100,,,,,,,girafa,9,3,,263,79
Cyndaquil,40,22,20,26,21,23,20,16,22,15,10,15,3,1,1,585,142,268,380,fogo,100,,,,,,,tatu,3,1,,264,80
Quilava,60,31,27,36,29,32,24,21,35,20,10,20,3,1,1,770,206,386,530,fogo,100,,,,,,,furão,6,2,,265,80
Typhlosion,90,42,35,59,43,46,32,38,40,25,15,20,3,1,2,1055,300,550,760,fogo,100,,,,,,,furão,9,3,,266,80
Ultra Typhlosion,91,45,35,71,46,50,42,38,42,26,26,26,3,1,2,1179,334,599,829,fogo,100,fantasma,100,,,,,furão,-,FF,,267,80
Totodile,46,25,24,20,21,19,15,21,23,14,10,15,3,1,1,583,144,274,382,agua,100,,,,,,,jacare,3,1,,268,81
Croconaw,70,36,35,26,26,25,22,30,36,19,10,15,3,1,1,763,214,396,542,agua,100,,,,,,,jacare,6,2,,269,81
Feraligatr,108,62,58,35,37,32,29,35,48,22,15,18,3,1,2,1057,348,588,780,agua,100,,,,,,,jacare,9,3,,270,81
Sentret,37,26,18,19,22,23,18,14,18,16,10,10,4,1,1,557,142,253,357,normal,100,,,,,,,esquilo,1,1,,271,82
Furret,69,33,28,22,29,48,21,28,25,25,12,12,4,1,2,809,231,401,545,normal,100,,,,,,,furão,5,2,,272,82
Hoothoot,62,16,16,19,27,25,20,20,24,12,5,10,3,1,1,559,166,294,396,normal,100,voador,100,,,,,coruja,1,1,,273,83
Noctowl,85,21,21,24,37,34,22,24,35,16,6,35,3,2,2,818,229,415,549,normal,100,voador,100,,,,,coruja,5,2,,274,83
Ledyba,49,14,18,19,28,25,22,19,25,13,5,10,4,1,1,566,156,287,389,inseto,100,voador,100,,,,,joaninha,2,1,,275,84
Ledian,61,19,22,25,50,37,26,21,38,19,5,10,4,1,2,758,250,413,537,inseto,100,voador,100,,,,,joaninha,6,2,,276,84
Spinarak,36,23,17,17,17,19,19,20,18,12,25,10,4,1,1,569,136,248,352,inseto,100,venenoso,100,,,,,aranha,2,1,,277,85
Ariados,72,34,22,22,22,22,24,30,30,18,35,15,4,1,2,806,210,378,510,inseto,100,venenoso,100,,,,,aranha,7,2,,278,85
Chinchou,70,16,16,23,23,26,24,15,20,12,5,15,3,1,1,574,170,302,396,agua,100,eletrico,100,,,,,peixe,2,1,,279,86
Lanturn,125,21,21,36,36,32,32,18,33,16,5,15,3,1,2,797,269,463,583,agua,100,eletrico,100,,,,,peixe,7,2,,280,86
Togepi,34,8,21,15,21,9,30,6,18,10,5,5,3,1,0,410,144,244,298,fada,100,,,,,,,desconhecido,2,1,,281,87
Togetic,60,15,32,30,36,15,45,10,26,13,5,8,3,1,1,639,226,398,484,fada,100,voador,100,,,,,desconhecido,6,2,,282,87
Togekiss,92,16,40,52,48,44,75,17,36,18,8,10,3,1,2,964,350,610,752,fada,100,voador,100,cosmico,50,,,desconhecido,8,3,,283,87
Togekiss Radiante,92,20,44,56,52,48,79,21,40,20,11,13,4,1,2,1064,374,650,812,fada,100,voador,100,cosmico,50,,,desconhecido,-,FF,,284,87
Natu,39,20,19,25,19,25,24,19,19,16,5,12,2,1,1,554,148,265,379,voador,100,psiquico,100,,,,,pombo,2,1,,285,88
Xatu,61,29,31,36,31,35,41,24,41,19,5,15,2,1,2,813,236,430,597,psiquico,100,voador,100,,,,,passaro,6,2,,286,88
Mareep,44,19,19,24,20,18,20,16,26,12,5,10,4,1,1,541,144,262,368,eletrico,100,fada,10,,,,,ovelha,3,1,,287,89
Flaaffy,71,25,25,35,31,23,30,21,36,16,5,15,4,1,2,747,213,385,523,eletrico,100,fada,50,,,,,ovelha,6,2,,288,89
Ampharos,117,32,37,53,44,27,42,26,58,20,10,15,4,1,3,1030,339,585,755,eletrico,100,fada,10,,,,,ovelha,9,3,,289,89
Mega Ampharos,118,32,41,65,49,27,45,26,81,20,15,15,4,1,3,1140,410,680,850,eletrico,100,dragao,100,,,,,ovelha,-,FF,,290,89
Azurill,35,10,19,10,19,14,19,10,15,10,2,2,4,1,0,379,114,207,267,fada,100,normal,100,,,,,rato,-,0,,291,90
Marill,62,16,30,20,30,16,30,14,25,15,4,4,4,1,1,588,182,332,426,agua,100,fada,100,,,,,rato,3,1,,292,90
Azumarill,95,20,43,28,43,20,43,19,35,18,8,8,4,1,2,817,267,479,597,agua,100,fada,100,,,,,coelho,6,2,,293,90
Bonsly,36,23,26,6,16,4,16,12,24,10,5,5,1,1,0,390,146,246,302,pedra,100,,,,,,,arvore,-,0,,294,91
Sudowoodo,71,44,55,16,27,11,26,18,42,14,12,12,1,1,2,747,282,459,555,pedra,100,,,,,,,arvore,5,1,,295,91
Hoppip,38,18,20,19,25,24,21,22,22,15,15,5,2,1,1,560,142,268,380,planta,100,voador,100,,,,,flor,2,1,,296,92
Skiploom,63,22,26,22,33,37,33,25,35,18,20,5,2,1,1,736,210,391,529,planta,100,voador,100,,,,,flor,5,2,,297,92
Jumpluff,74,27,34,27,41,49,43,25,45,22,25,5,2,2,2,934,274,498,656,planta,100,voador,100,,,,,flor,7,3,,298,92
Aipom,40,28,19,17,19,31,20,19,21,21,10,15,3,1,1,617,160,282,396,normal,100,,,,,,,macaco,2,1,,299,93
Ambipom,64,40,23,22,23,45,24,22,32,32,15,15,3,1,2,834,234,410,546,normal,100,,,,,,,macaco,7,2,,300,93
Sunkern,34,17,17,17,17,17,17,17,17,17,17,17,4,1,1,556,102,204,306,planta,100,,,,,,,bateria,1,1,,301,94
Sunflora,64,27,23,38,34,19,52,19,60,28,10,18,4,1,2,904,300,488,626,planta,100,,,,,,,flor,5,2,,302,94
Yanma,52,25,21,31,21,44,22,25,25,15,5,15,3,1,1,670,202,352,480,inseto,100,voador,100,,,,,insetoide,4,1,,303,95
Yanmega,80,28,32,44,25,48,26,42,30,20,15,15,3,1,2,890,268,472,630,inseto,100,voador,100,dragao,10,,,insetoide,8,2,,304,95
Wooper,54,25,25,21,21,18,18,17,17,15,12,8,4,1,1,578,154,274,378,terrestre,100,agua,100,,,,,axolote,2,1,,305,96
Clodsire,85,37,37,30,30,24,24,23,23,17,15,10,4,1,2,784,233,401,541,terrestre,100,venenoso,100,,,,,anta,7,2,,306,96
Quagsire,95,33,33,28,44,23,23,22,22,17,15,10,3,1,2,784,249,417,551,terrestre,100,agua,100,,,,,peixe,7,2,,307,96
Murkrow,43,26,19,26,19,29,19,24,19,15,15,15,4,1,1,635,162,291,405,sombrio,100,voador,100,,,,,pombo,2,1,,308,97
Honchkrow,101,52,28,42,28,35,35,29,28,15,15,15,4,1,2,905,289,487,655,sombrio,100,voador,100,,,,,passaro,8,2,,309,97
Misdreavus,51,26,26,31,31,31,36,10,18,18,5,10,4,1,1,666,196,362,485,fantasma,100,,,,,,,espirito,4,1,,310,98
Mismagius,51,26,26,46,46,46,86,10,38,18,5,10,4,1,2,916,356,576,715,fantasma,100,,,,,,,espirito,7,2,,311,98
Unown,33,23,13,23,13,23,63,13,23,13,13,13,5,1,1,641,218,343,421,psiquico,100,,,,,,,desconhecido,5,1,,312,99
Wynaut,80,10,20,10,20,10,16,8,18,10,4,4,1,1,0,398,160,248,308,psiquico,100,,,,,,,criatura,-,0,,313,100
Wobbuffet,170,16,30,16,30,16,18,12,30,12,10,10,1,1,2,684,290,418,506,psiquico,100,,,,,,,criatura,4,1,,314,100
Girafarig,69,37,30,41,30,33,34,25,32,16,5,10,2,1,1,762,225,423,593,normal,100,psiquico,80,,,,,girafa,4,1,,315,101
Farigiraf,92,40,33,50,33,28,36,26,38,20,10,15,2,2,2,915,272,486,660,psiquico,100,normal,100,,,,,girafa,8,2,,316,101
Pineco,46,25,33,18,18,11,18,18,24,12,15,15,3,1,1,584,164,282,384,inseto,100,,,,,,,casulo,2,1,,317,102
Forretress,73,36,68,22,22,12,22,22,36,16,20,20,2,1,2,817,281,441,569,inseto,100,metal,100,,,,,casulo,6,2,,318,102
Dunsparce,92,35,35,32,32,22,22,22,32,22,5,5,3,1,1,744,232,424,556,normal,100,,,,,,,minhoca,4,1,,319,103
Dudunsparce,111,44,38,37,36,25,25,25,37,25,5,5,3,1,2,865,275,495,645,normal,100,,,,,,,minhoca,7,2,,320,103
Gligar,42,26,32,19,24,27,14,26,25,14,20,5,2,1,1,619,170,320,440,terrestre,100,voador,100,,,,,escorpião,3,1,,321,104
Gliscor,67,37,50,22,29,36,15,37,35,18,35,10,2,1,2,876,248,460,629,terrestre,100,voador,100,sombrio,10,,,escorpião,7,2,,322,104
Snubbull,48,31,23,20,20,17,24,15,20,16,10,10,2,1,1,572,158,284,390,fada,100,,,,,,,cachorro,3,1,,323,105
Granbull,75,62,33,25,25,22,34,18,38,18,10,15,2,1,2,816,275,459,589,fada,100,lutador,50,,,,,cachorro,7,2,,324,105
Qwilfish,41,32,28,22,22,27,24,35,30,12,10,15,3,1,1,674,194,352,481,agua,100,venenoso,80,,,,,peixe,4,1,,325,106
Qwilinper,41,32,28,22,22,27,24,35,30,12,10,15,4,1,2,704,194,352,481,agua,100,venenoso,100,sombrio,50,,,peixe,5,2,,326,106
Overqwil,79,44,34,27,27,33,28,52,38,15,15,20,4,1,2,910,271,481,645,venenoso,100,sombrio,100,agua,80,,,peixe,8,3,,327,106
Shuckle,36,16,85,16,85,8,17,8,29,8,5,5,2,1,2,706,398,500,564,inseto,100,pedra,50,normal,10,,,tartaruga,5,1,,328,107
Heracross,77,68,33,23,37,26,20,42,35,15,10,15,3,1,3,890,297,507,645,inseto,100,lutador,100,,,,,insetoide,6,1,,329,108
Mega Heracross,87,96,42,23,40,27,20,51,35,15,10,15,3,1,3,1000,381,615,755,inseto,100,lutador,100,,,,,insetoide,-,FF,,330,108
Sneasel,43,33,21,17,24,34,19,20,25,18,25,10,1,1,1,656,184,325,445,sombrio,100,gelo,100,,,,,gato,3,1,,331,109
Ultra Sneasel,43,33,21,17,24,34,19,22,25,18,33,15,1,1,1,699,200,342,465,sombrio,100,venenoso,100,lutador,50,,,gato,-,FF,,332,109
Weavile,60,46,25,19,31,42,25,26,32,24,45,10,1,1,2,883,266,452,604,sombrio,100,gelo,100,,,,,gato,6,2,,333,109
Ultra Weavile,72,48,25,19,31,42,30,32,33,24,75,15,1,1,2,1028,330,532,704,sombrio,100,venenoso,100,lutador,100,,,gato,-,FF,,334,109
Teddiursa,43,28,22,22,22,19,18,17,20,13,5,10,2,1,1,536,144,271,379,normal,100,,,,,,,urso,2,1,,335,110
Ursaring,84,53,31,31,31,25,24,22,40,16,10,15,2,1,2,817,270,456,598,normal,100,,,,,,,urso,7,2,,336,110
Ursaluna,130,80,45,31,34,26,25,26,47,16,10,15,2,1,3,997,384,604,758,terrestre,100,normal,100,,,,,urso,10,3,,337,110
Ultra Ursaluna,130,82,48,50,48,32,25,32,47,16,15,15,2,1,3,1112,394,680,858,terrestre,100,normal,100,sombrio,10,,,urso,-,FF,,338,110
Slugma,42,21,21,21,30,12,19,16,24,15,10,15,5,1,1,595,150,276,376,fogo,100,pedra,10,,,,,gosma,4,1,,339,111
Magcargo,62,28,46,36,36,15,28,20,34,16,10,20,5,1,2,812,236,422,558,fogo,100,pedra,100,,,,,caracol,7,2,,340,111
Swinub,45,22,21,20,20,23,19,19,20,16,5,10,3,1,1,552,135,257,373,gelo,100,terrestre,100,,,,,topeira,3,1,,341,112
Piloswine,92,36,32,30,30,28,24,24,32,18,10,15,3,1,1,781,228,412,564,gelo,100,terrestre,100,,,,,topeira,6,2,,342,112
Mamoswine,138,56,45,41,38,34,30,35,52,22,12,16,3,1,2,1062,354,602,800,gelo,100,terrestre,100,,,,,elefante,9,3,,343,112
Corsola,52,23,32,26,32,5,16,30,25,10,5,10,2,1,2,595,188,342,440,agua,100,pedra,100,,,,,estatico,4,1,,344,113
Carsola,54,24,33,28,33,5,20,40,25,10,5,10,2,1,2,635,212,372,480,fantasma,100,agua,100,pedra,100,,,estatico,5,2,,345,113
Cursola,60,30,33,56,46,5,30,40,30,10,5,10,2,1,2,765,284,470,610,fantasma,100,agua,100,pedra,100,,,estatico,8,3,,346,113
Remoraid,34,28,17,28,17,29,18,17,17,17,5,10,4,1,1,569,170,274,376,agua,100,,,,,,,peixei,2,1,,347,114
Octillery,66,41,32,41,32,29,32,20,32,18,10,15,4,1,2,831,230,422,584,agua,100,,,,,,,polvo,6,2,,348,114
Delibird,70,26,24,30,24,34,38,20,33,16,10,20,5,1,2,792,214,392,528,gelo,100,voador,100,,,,,pinguim,4,1,,349,115
Mantyke,37,8,19,20,35,19,19,4,16,8,3,3,3,1,0,417,148,261,325,agua,100,voador,80,,,,,arraia,-,0,,350,116
Mantine,79,16,29,35,68,29,36,15,38,12,5,15,3,1,2,809,291,491,611,agua,100,voador,80,,,,,arraia,6,1,,351,116
Skarmory,78,40,67,23,36,35,21,30,34,14,5,16,4,1,2,869,292,502,650,metal,100,voador,100,,,,,passaro,7,1,,352,117
Houndour,44,26,17,30,21,23,22,17,23,14,10,15,4,1,1,613,158,292,402,sombrio,100,fogo,100,,,,,cachorro,4,1,,353,118
Houndoom,75,34,20,39,31,33,26,24,40,18,15,20,4,1,2,846,233,429,569,sombrio,100,fogo,100,,,,,cachorro,8,2,,354,118
Mega Houndoom,75,38,38,51,38,40,26,24,40,25,15,20,4,1,2,970,262,490,667,sombrio,100,fogo,100,,,,,cachorro,-,FF,,355,118
Phanpy,64,26,26,21,21,19,19,19,22,10,5,5,3,1,1,550,168,296,410,terrestre,100,,,,,,,elefante,4,1,,356,119
